Origin;Sequence;Creation Date;Client Document;UF;City;Address Type;Postal Code;Courrier;Status;Coupon;Quantity_SKU;Category Ids Sku;Reference Code;SKU Selling Price;SKU Total Price;Total Value;Discounts Names;Cancelled By;Corporate Document;SalesChannel
Marketplace;16499;2020-06-12 15:48:08Z;1;Buenos Aires;Olavarria;pickup;7400;Correo Sucursal;Faturado;;1;/1/50/59/;1 - 1213;16999;16999;118098;x;;;1
Marketplace;5303;2020-06-06 21:04:26Z;2;Córdoba;Córdoba;residential;5014;Correo;Faturado;;1;/1/34/78/;2 - 0;8999;8999;63897.99;x;;;1
Marketplace;725;2020-06-01 22:38:00Z;3;Córdoba;Córdoba;residential;5000;Correo;Faturado;BIENVENIDA;1;/1/34/78/;3 - 0;9629.1;9629.1;32108.2;x;;;1
Marketplace;25989;2020-06-23 02:05:13Z;4;Buenos Aires;Victoria;pickup;1644;Correo Sucursal;Faturado;;1;/1/34/78/;4 - 0;35799;35799;40299;;;;1
Marketplace;11137;2020-06-09 10:04:41Z;5;Buenos Aires;Santa Teresita;residential;7107;Correo;Faturado;;1;/1/34/78/;4 - 0;33499;33499;67098;x;;;1
Marketplace;947;2020-06-02 12:18:38Z;6;Chubut;Puerto Madryn;residential;9120;Correo;Faturado;;1;/1/34/78/;4 - 0;33499;33499;54098;;;;1
Marketplace;25915;2020-06-22 22:40:49Z;7;Entre Ríos;Concordia;residential;3200;Correo;Faturado;;1;/517/554/594/;5 - M;13999;13999;18499;;;;5
Marketplace;22259;2020-06-18 15:19:41Z;8;Buenos Aires;Turdera;residential;1833;Correo;Faturado;;1;/1/50/59/;jun-36;24299;24299;28799;;;;1
Marketplace;28999;2020-06-27 17:03:22Z;9;Córdoba;Córdoba;pickup;5000;Correo Sucursal;Faturado;BIENVENIDA;1;/1/50/59/;jun-38;21869.1;21869.1;21869.1;x;;;1
Marketplace;1287;2020-06-02 21:22:25Z;10;Buenos Aires;C.A.B.A.;pickup;1013;Correo Sucursal;Faturado;;1;/1/50/59/;jun-38;22699;22699;27199;;;;1
Marketplace;5303;2020-06-06 21:04:26Z;2;Córdoba;Córdoba;residential;5014;Correo;Faturado;;1;/1/50/59/;jul-36;22699;22699;63897.99;x;;;1
Marketplace;21265;2020-06-17 10:33:18Z;11;BUENOS AIRES;Coronel Granada;residential;6062;Correo;Faturado;;1;/1/50/59/;8 - 1415;17399;17399;21899;;;;1
Marketplace;15125;2020-06-11 13:49:34Z;12;CÓRDOBA;Córdoba;residential;5008;Correo;Faturado;;1;/1/50/59/;8 - 1415;16299;16299;18799;;;;1
Marketplace;19387;2020-06-15 09:53:00Z;13;Córdoba;Las Perdices;residential;5921;Correo;Faturado;;1;/1/50/59/;sep-80;27799;27799;32299;;;;1
Marketplace;11137;2020-06-09 10:04:41Z;5;Buenos Aires;Santa Teresita;residential;7107;Correo;Faturado;;1;/1/50/59/;oct-44;33599;33599;67098;x;;;1
Marketplace;17537;2020-06-13 09:08:00Z;14;Buenos Aires;Hospital Necochea;residential;7630;Correo;Faturado;;1;/298/303/324/;11 - M;23999;23999;76498;x;;;4
Marketplace;23891;2020-06-20 11:33:27Z;15;Salta;Salta;residential;4400;Correo;Faturado;;1;/298/303/324/;12 - M;27599;27599;85197;x;;;4
Marketplace;26445;2020-06-23 19:30:40Z;16;San Juan;Chimbas;residential;5413;Correo;Faturado;;1;/1/50/59/;13-oct;13999;13999;107598;x;;;1
Marketplace;26445;2020-06-23 19:30:40Z;16;San Juan;Chimbas;residential;5413;Correo;Faturado;;1;/1/50/52/;14-oct;13999;13999;107598;x;;;1
Marketplace;26445;2020-06-23 19:30:40Z;16;San Juan;Chimbas;residential;5413;Correo;Faturado;;1;/1/50/59/;15-oct;13999;13999;107598;x;;;1
Marketplace;31187;2020-06-30 11:15:11Z;17;Buenos Aires;Carlos Casares;residential;6530;Correo;Faturado;;1;/1/50/59/;15-dic;13999;13999;26198;;;;1
Marketplace;3411;2020-06-05 21:46:13Z;18;BUENOS AIRES;Olavarría;residential;7400;Correo;Faturado;;1;/1/50/59/;15 - 14;9919.2;9919.2;24498.4;x;;;1
Marketplace;23891;2020-06-20 11:33:27Z;15;Salta;Salta;residential;4400;Correo;Faturado;;1;/298/303/324/;16 - 34;27599;27599;85197;x;;;4
Marketplace;9675;2020-06-08 18:56:22Z;19;Entre Ríos;Paraná;residential;3100;Correo;Faturado;;1;/298/303/324/;16 - 36;27599;27599;32099;;;;4
Marketplace;13323;2020-06-10 11:57:46Z;20;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;residential;1414;Correo;Faturado;;1;/298/303/324/;16 - 38;27599;27599;32099;;;;4
